entity,latency_ms,roundtrip_cost_bps,sizing,trades,gross_pnl,cost_pnl,net_pnl,exposure,turnover,annualised_daily_sharpe,annualised_daily_sortino,maximum_drawdown,win_rate,average_win,average_loss,average_holding_seconds,break_even_roundtrip_bps,pnl_concentration_largest_day
BTCUSDT,500,5.0,fixed,148380,5.917197055646958,74.19000000000001,-68.27280294435305,0.4526932779560185,296760.0,-69.88137970984627,-69.88137970984627,-1.0,0.022813047580536462,0.00026738068330977167,-0.00047710532471710495,5.271963770777733,0.3987867000705593,0.07909724930615114
ETHUSDT,500,5.0,fixed,185838,6.346479111139041,92.91900000000004,-86.57252088886099,0.5801046110873843,371676.0,-141.78068441191553,-141.78068441191553,-1.0,0.06347463920188551,0.0003782312849709884,-0.0005230584406429412,5.394057017181631,0.3415059950676955,0.06693670205353527
combined,500,5.0,fixed,1799,0.028527500401471523,0.4330905237879101,-0.40456302338643857,0.0026469829603335683,1732.3620951516402,-2025.7094423383435,-2025.7094423383435,-0.4045630233864387,0.04446914952751529,0.00009686615913446029,-0.00023985591397160874,5.313168698165648,0.3293480096489228,0.05129434432668057
BTCUSDT,500,7.0,fixed,148380,5.917197055646958,103.86599999999999,-97.94880294435305,0.4526932779560185,296760.0,-70.05051144362459,-70.05051144362459,-1.0,0.00909826122118884,0.0003441187251469884,-0.0006693420609623986,5.271963770777733,0.3987867000705593,0.07845926325087649
ETHUSDT,500,7.0,fixed,185838,6.346479111139041,130.08659999999998,-123.74012088886097,0.5801046110873843,371676.0,-147.04310383435376,-147.04310383435376,-1.0,0.03164584207750837,0.0004723200373226276,-0.0007030448108623468,5.394057017181631,0.3415059950676955,0.0661796592563239
combined,500,7.0,fixed,1271,0.020998006353059647,0.4281541096322552,-0.4071561032791956,0.0018658375647492699,1223.297456092158,-1847.6526396649463,-1847.6526396649463,-0.4071561032791955,0.020456333595594022,0.00008703251833659347,-0.00032885056124975663,5.30043710306845,0.34330172516074864,0.05101617664892978
BTCUSDT,500,10.0,fixed,148380,5.917197055646958,148.38000000000002,-142.46280294435306,0.4526932779560185,296760.0,-70.16522435105831,-70.16522435105831,-1.0,0.0032821134923844185,0.00045094024968058105,-0.0009647678446305608,5.271963770777733,0.3987867000705593,0.07800064778775777
ETHUSDT,500,10.0,fixed,185838,6.346479111139041,185.83800000000008,-179.491520888861,0.5801046110873843,371676.0,-151.04147032867735,-151.04147032867735,-1.0,0.013242716774825386,0.0006597216979207672,-0.000987665279655813,5.394057017181631,0.3415059950676955,0.06563195285450513
combined,500,10.0,fixed,872,0.011957254385024499,0.4210701961815151,-0.4091129417964906,0.001279544264245133,842.1403923630302,-1326.1245771494475,-1326.1245771494475,-0.4091129417964905,0.0045871559633027525,0.0000902727382188839,-0.0004717442773610209,5.2739227373853215,0.2839729454485057,0.05148395910221215
BTCUSDT,500,20.0,fixed,148380,5.917197055646958,296.76000000000005,-290.8428029443531,0.4526932779560185,296760.0,-70.28703147100744,-70.28703147100744,-1.0,0.00032349373230893653,0.0010248412446553564,-0.001961087259149048,5.271963770777733,0.3987867000705593,0.077485812566698
